"Compound","C2_5_2","C2_5_3","C2_5_4","C2_5_5","C2_5_6","C2_5_7","C2_5_8","C5_1","C5_2","C5_3","C5_4","C5_5","C5_6","C15_1","C15_2","C15_3","C15_4","C15_5","R2_5_1","R2_5_2","R2_5_3","R2_5_4","R2_5_5","R2_5_6","R5_1","R5_2","R5_3","R5_4","R5_5","R5_6","R15_1","R15_2","R15_3","R15_4","R15_5","R15_6","T2_5_1","T2_5_2","T2_5_3","T2_5_4","T2_5_5","T2_5_6","T5_1","T5_2","T5_3","T5_4","T5_5","T5_6","T15_1","T15_2","T15_3","T15_4","T15_5","T15_6"
"alanine",0.0417566411263976,0.0228787092612749,0.0415304884230447,0.0409058351885439,0.0511269846025556,0.0602380927541567,0.036133331799454,0.0712411993304993,0.0483851147822051,0.0349096918789718,0.0436412771336802,0.050576375917592,0.0572724755185439,0.0357003619999742,0.041724520634839,0.0395185709039896,0.0364580216479995,0.0442835855508566,0.0172850230522411,0.028010986838918,0.0318380298299972,0.00296399345350974,0.0197684780346235,0.0225451347110899,0.0270833874700393,0.0267696727565029,0.0212121332688705,0.0235805205748924,0.0306951563637448,0.0134052168088258,0.0227221737622233,0.0254341126510788,0.02213062014175,0.159293082785776,0.0144246615287352,0.0417624475418546,0.027078234712857,0.00917633225015495,0.0208263009063038,0.0336793962491815,0.0328359205376382,0.0145231708042355,0.00363065846869582,0.00532382874135479,0.00738941686433765,0.0181939370306516,0.0252030119102039,0.0248063772823841,0.0135151720311009,0.00879512265639489,0.00493701986525234,0.0135809271093439,0.0127113086216262,0.00851090886806452
"arginine",0.0358925189381814,0.0344860069591549,0.0352233203852326,0.0298009661665892,0.0564298709082787,0.0239890378479739,0.0344871289486594,0.0429924319497862,0.0413476831284082,0.036502272960388,0.0382452354524231,0.0367035869613207,0.0461107025532356,0.036207837899176,0.0433922081557692,0.0268444947001063,0.0363951096981224,0.0296115148242193,0.0112113445772229,0,0.00274523752589926,0.00347960499514345,0.000115694092942955,0,0.0258099800938632,0.0357261287796826,0.0188686346005281,0.023423062942989,0.0257669594736831,0.0127674564154302,0.0284482375391948,0.0328069442719006,0.0330184671471268,0.0300239023773768,0.0265052088808916,0.0268100858247225,0.0382526224754153,0.00136933868212381,0.003770864196808,0.00184366175647377,0.0136472708819426,0.0190377872609891,0.0302844280132119,0.033199204521066,0.0147580508796276,0.0119351418998603,0.0377465299011811,0.0546669009005798,0.0309611283193343,0.0383367573756461,0.0317406465850901,0.0260805289072914,0.0369300710320951,0.0191435759894806
"asparagine",0.0282194175783399,0.0282263969786037,0.0615804260009179,0.0288855641868408,0.0524486319037864,0.067536098440908,0.0335640481469352,0.0516900233177034,0.0467991582011941,0.100295532897875,0.039114943204994,0.0486927952865175,0.0431060030313888,0.0352640127967068,0.0420103282718122,0.0254241016366692,0.0208082474157388,0.0214736093200172,0.0203994639526372,0.0577475973269278,0.0264782160392809,0.0195299187849481,0.0348403560690009,0.0636948950265731,0.0424689148516649,0.0471761081524594,0.0218585395379522,0.030150070258788,0.0463135213129507,0.0263304025578665,0.0164209929356562,0.0328022285732923,0.0195378736404058,0.0371660097833575,0.0299628774977982,0.0516107505309068,0.0389551092413625,0.0289550852699805,0.0396019700683523,0.0802196390421798,0.0690398873413115,0.0529666353885287,0.0248285247933518,0.0331660332804343,0.0205647806795152,0.0161326743165529,0.0603086747025422,0,0.0409652427532853,0.0341622695568744,0.017057958718339,0.0244276174915758,0.0244254530909624,0.0276518571993919
"aspartate",0.0736659495797582,0.0912090860009183,0.0954048865320252,0.110984844641941,0.135771797518372,0.17776742586825,0.121973999499535,0.152979988661119,0.119244035681645,0.169271249712788,0.154862605767882,0.15937899946429,0.119876081716109,0.0842584908017218,0.0979207170295477,0.0657154532754095,0.0278717794529642,0.103034901505595,0.0965355473448879,0.0574941704888093,0.0912562862972232,0.0215851118170755,0.090469349364567,0.0529608259523106,0.0925069368532029,0.0662194440617453,0.100906544453923,0.0611815449956496,0.10629195894679,0.121996241460316,0.0758829610032998,0.0593161268947016,0.0663019870771249,0.0351305774731737,0.0498860181625306,0.0316266039576244,0.0781005531966362,0.0585645202143144,0.0664078953509033,0.0461432425574255,0.0598711310870384,0.0677148801701623,0.0592182584705503,0.0536146027075506,0.046683186709449,0.0494619236956373,0.0489194135969478,0.0784528562243703,0.0438456633630915,0.042942489822515,0.0471689149740469,0.0511366390921365,0.0512018921828521,0.0382476319940143
"citrulline",0.0801291861125976,0.0418849477688792,0.0295806257919389,0.00725046562368424,0.0225882937696664,0.0247464260676007,0.0367991208525397,0.043528993260208,0.0440060974762417,0.0313752513707432,0.0270704166834807,0.0358759083981238,0.0239791376839999,0.116791840710763,0.09215379296177,0.0984986708067108,0.118499694734555,0.103798053738835,0.0337763974944154,0.013105734679007,0.0125892087932359,0.00143838319335339,0,0,0.0675559670980436,0.0622780603257376,0.0471575517007822,0.065655963961975,0.0590167780857593,0.0265940688538712,0.128463406537128,0.161317814241598,0.163839565268242,0.158524992558443,0.157755986072594,0.153773716588885,0.0684024226525577,0.0598829666991861,0.0588142839240281,0.0254747027685576,0.0864442374909114,0.0512582560959439,0.0995260935941247,0.10783646421754,0.160543644754928,0.168233619893677,0.135256989997146,0.0707842244990259,0.167705809500665,0.166218957179092,0.162209044271301,0.181297191969374,0.21653291021064,0.193642168921179
"gln-15n-ta",0.36717600002811,0.494290927048196,0.519028730949263,0.473766574676322,0.551423701801911,0.477409827252579,0.497662317799824,0.516901477253041,0.499445353724494,0.499595510580563,0.525329018332997,0.516438183525092,0.512757855598903,0.320152931036764,0.372927690864621,0.311772672854475,0.313857924134475,0.358534450336543,0.398941217290198,0.400427254363016,0.477316750538776,0.309255513192408,0.396709971948675,0.375424525451353,0.450398007482754,0.458293655959985,0.427738216660203,0.431290106895993,0.460612532369441,0.40411900222397,0.302805538656577,0.269403017021356,0.33738804144443,0.342468091727455,0.295220982522065,0.366181752630997,0.328000378870557,0.334188207444071,0.336927097895526,0.31964539385962,0.340728878675468,0.329616531095561,0.348029147823118,0.40339637741377,0.344870202547103,0.384766052519743,0.377573006445768,0.388618252129566,0.292601163357064,0.309635074914801,0.193468185253589,0.27818230187244,0.258895393790775,0.226426163052578
"gln-15n2-13c5-tracer",0.0415287603894254,0.156554972463267,0.184891467739213,0.081759240478114,0.116800254256821,0.223432528640145,0.179149609937057,0.124707356678794,0.116129993890078,0.169976260298797,0.159383828706744,0.14788874126982,0.145809629237482,0.0287969660523926,0.0446472424218644,0.0354932612306814,0.0372402098211687,0.0333965226268497,0.303121399539918,0.34711961192071,0.268362980083709,0.272599126769569,0.364688794896219,0.398897385328339,0.176656538769768,0.223218853630328,0.209868473175939,0.173759984052485,0.151253336236551,0.243781443849733,0.0759742732457399,0.0364434738701201,0.0604091192435219,0.0426686586341249,0.0802007077912243,0.0667541275508952,0.419908427897193,0.355540988994631,0.427272437540002,0.424041321242527,0.387156229238887,0.374901822869773,0.245679030545359,0.254096309703646,0.2094176622319,0.28932022010874,0.289433952714898,0.232625740260372,0.137542123118609,0.139051969736651,0.137717758066439,0.113858569056032,0.110884065590982,0.134107876029768
"glutamate",0.105802872205704,0.172185901522782,0.211706874353106,0.136041812097525,0.181870620354757,0.19501943802228,0.199279146411167,0.195007120152644,0.162605946882313,0.180056462034594,0.207756624040073,0.186617432071493,0.193860839642994,0.0987983625681158,0.110287646888196,0.0978051543043249,0.0956920691473908,0.115967178264192,0.188738726860282,0.265159477685457,0.266964089995441,0.139733955281196,0.244687557152407,0.235509428933244,0.196511060013483,0.19575728619148,0.208921660206518,0.183615944613247,0.181163430925956,0.182328040240141,0.105321050375756,0.08506093512689,0.110498574872042,0.0496466476380355,0.103088894429377,0.0978753477410783,0.133637020419651,0.140794113132062,0.140179860112448,0.152562822055827,0.138062961416979,0.142390383940369,0.094648736342343,0.147952011934445,0.0872691799696809,0.114955578887964,0.130533897860003,0.112947285676628,0.0940184807942334,0.0835530576251064,0.0714943395592307,0.0906839866382949,0.073304444480299,0.0620169623665281
"glycine",6.86588999925728e-05,0.00556617772834296,0.0137172316314839,0.0156880258388643,0.00526203993020857,0.00571735069463423,0.0152449053435528,0.00394105071535138,0.00859617660320614,0.013317902520265,0.00301717847269601,0.00336874005694081,0.0047535348598104,0,0,0.00249633075949253,0.00295069492925881,0,0.00922232204525047,0.00578416148723166,0.00291854103185106,0.0021757563151263,0.00453132385765612,0.00895896915760933,0.00496477080760347,0.00416000129618924,0.00212950045828704,0.00567852585721193,0.00469551706517109,0.00342626894558107,0.00139709738903207,0,0.00297242798242399,0,0.00139951262341374,0,0.00612299014208789,0.00399875890977149,0.0046222667072801,0.0054141297793697,0.00782117544687166,0.00538590219493184,0.00214334941007511,0,0.00549916169567093,0,0,0.00653719530420987,0.00552375169201662,0,0.00268413842640556,0.00066047996727187,0.000216675827028424,0
"isoleucine",0.0515935730620731,0.0671992605438349,0.083640926820908,0.0296734318612729,0.059467356419634,0.0835009281211375,0.0755630553113933,0.0907216867046779,0.0512190734420624,0.078856602383348,0.0632185776885874,0.0877692804873137,0.0598236916303722,0.0344848275243985,0.0496930272716473,0.0451824259790985,0.040779189518351,0.0470597559920501,0.0723679651686663,0.0741972415232678,0.0857041641200717,0.0562853899277143,0.0466500256106498,0.0561157955522861,0.0695279938004938,0.0860495543803536,0.0794970021991674,0.0849839145478793,0.0864689846971894,0.0782895679133788,0.0448693049308109,0.035956139325952,0.0429022321082789,0.0602151345975505,0.052810047506738,0.0487653342412204,0.0886566184720255,0.0787408544789988,0.106976848973845,0.064373892448945,0.0801165187799733,0.0904698460447508,0.0796073175265576,0.101688167678955,0.092575002811638,0.11497132114099,0.0912529941220109,0.122761044782012,0.055595612625853,0.060673152282219,0.0375243807958803,0.0445213758311543,0.038780731651984,0.043489460619264
