"Compound","C2_5_2","C2_5_3","C2_5_4","C2_5_5","C2_5_6","C2_5_7","C2_5_8","C5_1","C5_2","C5_3","C5_4","C5_5","C5_6","C15_1","C15_2","C15_3","C15_4","C15_5","R2_5_1","R2_5_2","R2_5_3","R2_5_4","R2_5_5","R2_5_6","R5_1","R5_2","R5_3","R5_4","R5_5","R5_6","R15_1","R15_2","R15_3","R15_4","R15_5","R15_6","T2_5_1","T2_5_2","T2_5_3","T2_5_4","T2_5_5","T2_5_6","T5_1","T5_2","T5_3","T5_4","T5_5","T5_6","T15_1","T15_2","T15_3","T15_4","T15_5","T15_6"
"alanine",0.0372448157982999,0.0939267811663118,0.0966139848311782,0.0555829590423423,0.0833348230960317,0.0915918536137508,0.0772195684686072,0.0812251816541658,0.0888526763362983,0.0828485109118675,0.104002425420782,0.11299023686383,0.110850139304166,0.0401881530168336,0.0501590803130122,0.0385053789670642,0.0335713499787052,0.0555416636502048,0.137061062938702,0.0825916978508792,0.122170643236582,0.0789202917127332,0.0690079504595574,0.04611996008788,0.100706146159452,0.180716761694476,0.102779988799845,0.120265238431508,0.0822828104550127,0.0855641112931389,0.0538144642204251,0.0414706913022712,0.0611193029522105,0.0470505199615225,0.0551217084615994,0.0528357441650512,0.115748266767502,0.124746659734806,0.12144232507469,0.143679392022562,0.157865742700001,0.104711840658348,0.0888189654813325,0.0955744712161825,0.155403061142483,0.125058988597484,0.151187640331558,0.102718673352159,0.0753785970871976,0.0666736191628683,0.0664075860835261,0.0581291754502416,0.0393654778738873,0.0304000369333451
"arginine",0,0.0682179620079096,0,0.0327083036094083,0.088270809652465,0.0523891622527182,0.0577141427047971,0.0610987867409312,0.0416536623853312,0.0521630405643304,0.0536991029876994,0.0627660014655652,0.0598973055742965,0.0346292759471939,0.0429781353123352,0.038416226491509,0.0431629066648421,0.0567305959334926,0.049257189867886,0.0343628341858131,0.0278311429129389,0.0308804170116573,0.0173836593095879,0.0111976433304352,0.0324264579780077,0.0624882932747775,0.0266561355559626,0.00638001388855896,0.0225348049559607,0.0272137853806053,0.0485292569415452,0.0250096217209177,0.0404207914743443,0.0222932843626987,0.0275606515561411,0.0449888838174055,0.0439997512975886,0.0284105410145101,0.0429421278512216,0.0442029903407283,0.0226953367516673,0.0436381525385471,0.00235269040996789,0.0456302526699888,0.022021787403323,0.0207702150512501,0.0545691895499551,0.069225516666023,0.0374726942529359,0.0498276190386711,0.0241980772955251,0.0370036257643615,0.0217459674801351,0.0237055444130776
"asparagine",0.010077081019693,0.0130446769832784,0.0323846955534065,0.0156590325073319,0.0184930216386567,0.0259627860291595,0.011609475039435,0.0223550066867377,0.0137898575252599,0.0129359757054229,0.00735131409755248,0.00718835223491101,0.0133320419977977,0.0120612762479073,0.00443778349497513,0.0150568713105781,0.0100244410798871,0.00986587709548897,0.0230224955519988,0.0163553347075089,0.0221004833165101,0.026072973688545,0.0201672805221272,0.027478130118239,0.0268995579305985,0.0404784721984586,0.0261352254902509,0.021798143623715,0.0289686687953585,0.0286696765314628,0.0109594578416895,0.00896350187991368,0.019590787175981,0.0237317047826911,0.0209009732111786,0.018726378408207,0.0230348043711547,0.0343288706024195,0.0390802814525135,0.0328506866907579,0.0251499435639306,0.0232817078642804,0.00292399347273934,0.0150754891683704,0.0267502749216452,0.0364897083371019,0.0418155003332058,0.0250045722827575,0.0148880894029203,0.0121697118109623,0.0222038153016537,0.0166117562104352,0.0087461197264903,0.00651555281204996
"aspartate",0.0455708818830659,0.116025975636782,0.158082395584384,0.0805343162712729,0.157018414738756,0.148037319208256,0.138305194527193,0.134025283111176,0.140448408618475,0.176812073497071,0.140669791406251,0.0980141414587389,0.11093597682099,0.0997915279192672,0.0963607954051797,0.0595617214131345,0.0678742573894,0.0829529691137959,0.14408069168146,0.138743846577885,0.110988543541741,0.0957827241477824,0.0994833083678404,0.0649678736172758,0.123895813291664,0.10572545208693,0.13959011436153,0.141302376940149,0.12342184386836,0.151135435154607,0.0769360030618366,0.0501430699025954,0.0646356585750451,0.039579941710123,0.0516692894430064,0.0798843702001294,0.147960156518443,0.165818085953624,0.176267226307265,0.157064746686084,0.506765592279756,0.0999831189647536,0.231718849499796,0.0814241436136463,0.162300047381166,0.142417265207671,0.178946890123154,0.160182570094714,0.0537533480001984,0.0980847160199417,0.0517480278040827,0.0593147213479008,0.0650755969099175,0.074471273529754
"citrulline",0.189083054745569,0.295307530202846,0.220305842329481,0.154495245214964,0.187982588312448,0.290897578089402,0.245724921641249,0.312090462163571,0.294035023507134,0.282610351261526,0.264854289284359,0.256283077098214,0.231240193411846,0.217212044396814,0.249686636590621,0.198985777318804,0.198651715333255,0.2305948994585,0.243897543389461,0.19847111683057,0.159648194257983,0.165234458653172,0.124581576043943,0.0827427662235185,0.273856251456789,0.387804013687827,0.249107714000242,0.249822554398961,0.237767891344593,0.248708080301167,0.25764610052187,0.232657244855635,0.278069717892499,0.260540889265915,0.249010059031041,0.267351555337276,0.214775282281741,0.199160670314593,0.223841160350113,0.283873503708107,0.313704447629301,0.264269484645159,0.282743918405594,0.311231114703029,0.367547249155723,0.349987472640032,0.344968961134789,0.310191796339355,0.27818300251739,0.249069711417045,0.258806019615207,0.2646721181487,0.291500274449955,0.251215282476476
"gln-15n-ta",0.185918304679208,0.218583195381793,0.187063216769749,0.125166234926939,0.192463183895868,0.139443331559312,0.147069981235254,0.220882099307984,0.249278913210612,0.241359577957833,0.241351263537769,0.243595446054114,0.259648499803802,0.191896774640172,0.226219173938786,0.175073633154802,0.181186447242882,0.212691753042008,0.151505176496542,0.0611867208475825,0.120457296129829,0.0858567485094194,0.0697955531242717,0.0306006412378286,0.24204889315499,0.234857112421281,0.208829092190368,0.174145987388976,0.219041712296627,0.157774038867062,0.212159507580261,0.181153564973619,0.219530744023509,0.223908875264439,0.213917970404342,0.232590176380925,0.127978189637843,0.141851856354398,0.130796874088864,0.107800204930253,0.208757916234042,0.132376527456728,0.248926167888233,0.304485410118133,0.197190834821517,0.250859955320525,0.190233377326046,0.251470925551467,0.252395957879827,0.259153640985565,0.201966492509885,0.210207251265388,0.19596185979475,0.164915523748099
"gln-15n2-13c5-tracer",0.146975264273498,0.38607460680665,0.46285504908548,0.46450250504065,0.442427605910862,0.487624229215746,0.45667741174527,0.313689228877557,0.302569087111427,0.349469575965883,0.347834745501509,0.339516210417564,0.312525010137652,0.0886711738550234,0.128179490184455,0.109955109595945,0.115259760582218,0.116231370677812,0.525385722317883,0.625893950154656,0.539910488256235,0.537142727720811,0.604275794646572,0.647760117660206,0.356537767439186,0.389798192818302,0.370246049055674,0.432369462850061,0.316376738079469,0.418635022420795,0.134390106316104,0.114671789873576,0.130747463977875,0.171658545453438,0.161612740058313,0.163353931650352,0.593688660910426,0.564483667108935,0.614440350656676,0.60926901107106,0.341328581106096,0.461084526182338,0.385302184767432,0.370784533208642,0.347075277079571,0.410229500830446,0.44247386333884,0.31996697982466,0.174065944411546,0.198009273813545,0.160968981488146,0.177908385662997,0.151725270185815,0.20426513669004
"glutamate",0.0622221964432701,0.153245097398723,0.155440927935821,0.104783725993211,0.125044151992174,0.185153399879487,0.175743598375568,0.126574054745019,0.126569782816067,0.165150193369142,0.135524815371922,0.126284184858689,0.122567861641637,0.0797360125549132,0.0851437602865932,0.0663039108096781,0.0556205127249793,0.0887930641131574,0.177901621490457,0.161367263955783,0.163312142540528,0.1364489586409,0.148738156651414,0.127293639326845,0.156017746839646,0.175371141786692,0.159778331178634,0.15172127973854,0.152571619436107,0.151479607874268,0.0755695432512032,0.0584655009653273,0.0906494544858438,0.0881951777223768,0.0683154580461063,0.0976883995832387,0.134230694093829,0.15843318757673,0.240465810344594,0.172086224822604,0.198333112013525,0.166382860288749,0.262750561233079,0.215462904959406,0.156748263624834,0.161035738379258,0.206387398050161,0.19066247653403,0.104404296217603,0.107895231870863,0.0907779370238013,0.0902787172748382,0.0812172613460035,0.0770925001149195
"glycine",0,0.00295205243384103,0.00503635131496224,0.00253414817001383,0.0134148848566997,0.011959032520956,0.0125193423495639,0.0113953072649932,0.00603843033988977,0.00871710958456774,0.0024706680425983,0.00568945685861778,0.00302302408901281,0.00276354827472275,0.00152733237053189,0.00220920757154145,0,0,0.0071626456175531,0.0254276091842998,0.0135286698134416,0.0122957984419948,0.0267063756891848,0.023690131271976,0.00339106228861669,0.00490137414271394,0.00931952204820668,0.0123634110916662,0.00508628395326731,0.00737911698280554,0.00559075347151346,0.00187149981438216,0.00132005787977905,0,0.00467831860599982,0.00455023338589563,0.0103329473793924,0.010833348311963,0.0249309114983813,0.022411771378105,0.00506362175102148,0.0136742819250028,0.00757075033226887,0.0194811737087188,0.00721738486176327,0.00643617452307501,0.020396944926675,0.00378508453203352,0.00405332576428396,0.00142043599728746,0,0.00600760332162722,0.00143772568063795,0.005387268069488
"isoleucine",0.0210199847986351,0.0180523898346668,0.0158430425043908,0.00986479602424173,0.0107659176069962,0.0172065618619623,0.0202047189374541,0.0221026601107774,0.0199287348879207,0.0196054856045451,0.0178408556149929,0.0207770433990503,0.0173980153303244,0.0179312205583728,0.0209926730263798,0.0175180136449681,0.0176773606213654,0.0198562259499631,0.0173893541898197,0.0149147065164781,0.0155926094104658,0.0125805552459824,0.0129213923798095,0.00945681258763769,0.0248925061428033,0.0306350502406169,0.0223152903075557,0.0234350341558279,0.0238595959258,0.019237556900139,0.0244840072890758,0.0208640466507859,0.0238172793269033,0.030239195326202,0.0275788091305474,0.0235709914709348,0.0234814965521851,0.0198347377659574,0.0202128616906666,0.0195728053403665,0.0213880698597575,0.0183604018519707,0.0224791328107517,0.0292038194026525,0.0243876982815636,0.0223862832383497,0.0241565979123724,0.0305518281042575,0.0239675370108736,0.02805657022978,0.0242829090710661,0.0326428582124663,0.0239444035211987,0.0269285014835487
